Order_ID,Date,Time,Month,Day,Customer_ID,Customer_Type,Gender,Age,Table_No,Waiter,Category,Item,Quantity,Unit_Price,Sales,Discount,Tax,Total_Bill,Payment_Method,Order_Type,Rating,Profit
ORD00001,24-11-2025,00:44:12,November,Monday,CUST2679,New,Female,20,1,Sophia,Starters,Spring Rolls,3,6.99,20.97,0.77,4.04,24.24,Card,Dine-in,5,5.47
ORD00002,05-11-2025,16:12:03,November,Wednesday,CUST5557,New,Male,62,14,Olivia,Starters,Garlic Bread,5,4.99,24.95,1.57,4.68,28.06,Apple Pay,Dine-in,3,7.42
ORD00003,22-06-2025,04:33:24,June,Sunday,CUST5333,New,Female,52,4,David,Starters,Spring Rolls,4,6.99,27.96,0.41,5.51,33.06,Cash,Delivery,4,10.39
ORD00004,18-11-2025,20:53:49,November,Tuesday,CUST4733,Returning,Male,32,4,David,Desserts,Cheesecake,2,6.99,13.98,1.48,2.5,15,Apple Pay,Takeaway,5,3.21
ORD00005,06-07-2025,07:49:49,July,Sunday,CUST2169,New,Male,28,15,David,Main Course,Burger,3,11.99,35.97,1.13,6.97,41.81,Apple Pay,Delivery,5,10.11
ORD00006,13-10-2025,17:15:03,October,Monday,CUST6168,Returning,Female,22,7,Olivia,Main Course,Burger,1,11.99,11.99,0.41,2.32,13.9,Card,Delivery,4,2.95
ORD00007,22-07-2025,22:00:52,July,Tuesday,CUST9830,Returning,Female,55,13,Olivia,Drinks,Coffee,3,3.99,11.97,0.25,2.34,14.06,Card,Dine-in,5,4.24
ORD00008,10-09-2025,08:35:08,September,Wednesday,CUST7916,New,Female,42,20,Emily,Starters,Spring Rolls,1,6.99,6.99,0.16,1.37,8.2,Online,Takeaway,5,1.87
ORD00009,06-01-2025,10:37:09,January,Monday,CUST8433,New,Female,50,6,Sophia,Starters,Chicken Wings,3,8.99,26.97,0.45,5.3,31.82,Apple Pay,Delivery,5,8.36
ORD00010,08-11-2025,20:04:21,November,Saturday,CUST9689,New,Female,49,1,Sophia,Main Course,Butter Chicken,3,15.99,47.97,5.49,8.5,50.98,Apple Pay,Takeaway,3,14.06
ORD00011,30-01-2025,12:59:15,January,Thursday,CUST9727,New,Male,60,16,Daniel,Main Course,Veg Biryani,1,12.99,12.99,1.43,2.31,13.87,Apple Pay,Delivery,5,4.3
ORD00012,05-08-2025,06:00:47,August,Tuesday,CUST7118,Returning,Female,25,8,Emma,Main Course,Paneer Butter Masala,3,13.99,41.97,2.51,7.89,47.35,Cash,Takeaway,3,13.84
ORD00013,29-10-2025,05:26:10,October,Wednesday,CUST4750,New,Male,39,3,Emma,Main Course,Paneer Butter Masala,1,13.99,13.99,0.15,2.77,16.61,Apple Pay,Delivery,4,4.77
ORD00014,20-04-2025,06:41:27,April,Sunday,CUST4119,New,Male,60,14,Olivia,Main Course,Fish & Chips,2,17.99,35.98,4.23,6.35,38.1,Google Pay,Takeaway,4,11.78
ORD00015,28-01-2025,20:07:02,January,Tuesday,CUST2790,New,Male,30,18,Emily,Starters,Spring Rolls,4,6.99,27.96,3.05,4.98,29.89,Card,Takeaway,3,9.22
ORD00016,23-05-2025,20:40:41,May,Friday,CUST2604,New,Male,23,8,Daniel,Drinks,Coffee,1,3.99,3.99,0.27,0.74,4.46,Google Pay,Takeaway,4,1.41
ORD00017,20-04-2025,07:01:20,April,Sunday,CUST5345,Returning,Female,45,18,Emily,Drinks,Coke,2,2.99,5.98,0.34,1.13,6.77,Card,Dine-in,4,2.24
ORD00018,22-04-2025,20:22:14,April,Tuesday,CUST9238,New,Male,50,3,Daniel,Starters,Spring Rolls,3,6.99,20.97,0.18,4.16,24.95,Cash,Delivery,3,7.02
ORD00019,12-12-2025,19:17:27,December,Friday,CUST1651,New,Female,60,19,Olivia,Main Course,Pasta,1,13.49,13.49,1.91,2.32,13.9,Apple Pay,Dine-in,5,3.88
ORD00020,10-06-2025,21:52:54,June,Tuesday,CUST8491,Returning,Male,18,15,Sophia,Main Course,Pizza,4,16.99,67.96,1.33,13.33,79.96,Cash,Delivery,3,23.11
ORD00021,17-09-2025,02:00:06,September,Wednesday,CUST7054,Returning,Male,46,18,Michael,Desserts,Ice Cream,3,4.99,14.97,1.98,2.6,15.59,Online,Delivery,5,4.96
ORD00022,05-01-2025,16:44:18,January,Sunday,CUST2891,New,Male,35,10,Emma,Desserts,Cheesecake,1,6.99,6.99,0.98,1.2,7.21,Apple Pay,Dine-in,5,1.62
ORD00023,21-11-2025,11:09:57,November,Friday,CUST1832,New,Female,35,2,James,Desserts,Cheesecake,4,6.99,27.96,1.05,5.38,32.29,Apple Pay,Dine-in,5,10.39
ORD00024,15-05-2025,15:12:19,May,Thursday,CUST2832,New,Male,52,2,Olivia,Main Course,Fish & Chips,5,17.99,89.95,9.52,16.09,96.52,Online,Delivery,3,26.87
ORD00025,09-08-2025,09:57:01,August,Saturday,CUST1653,Returning,Male,61,8,Sophia,Main Course,Chicken Biryani,3,14.99,44.97,2.46,8.5,51.01,Apple Pay,Delivery,4,16.58
ORD00026,14-11-2025,01:39:11,November,Friday,CUST7755,New,Male,65,11,David,Main Course,Paneer Butter Masala,2,13.99,27.98,4.1,4.78,28.66,Card,Takeaway,3,8.87
ORD00027,26-12-2025,06:22:48,December,Friday,CUST8541,Returning,Female,32,8,James,Starters,Soup,1,5.99,5.99,0.77,1.04,6.26,Card,Takeaway,4,1.48
ORD00028,23-05-2025,02:43:34,May,Friday,CUST9785,Returning,Male,25,9,Daniel,Starters,Chicken Wings,3,8.99,26.97,2.6,4.87,29.24,Online,Takeaway,3,7.55
ORD00029,25-02-2025,23:35:21,February,Tuesday,CUST2894,Returning,Male,34,2,David,Drinks,Tea,3,2.49,7.47,0.49,1.4,8.38,Cash,Delivery,5,2.78
ORD00030,18-12-2025,15:52:42,December,Thursday,CUST6409,Returning,Male,64,10,Michael,Main Course,Burger,4,11.99,47.96,0.5,9.49,56.95,Google Pay,Takeaway,4,16.59
ORD00031,23-12-2025,07:25:33,December,Tuesday,CUST7211,New,Female,43,18,James,Desserts,Cheesecake,2,6.99,13.98,0.4,2.72,16.3,Apple Pay,Takeaway,3,4.75
ORD00032,09-08-2025,01:08:30,August,Saturday,CUST8752,New,Male,36,17,Olivia,Desserts,Brownie,4,5.99,23.96,1.59,4.47,26.84,Cash,Dine-in,5,6.31
ORD00033,08-06-2025,23:23:11,June,Sunday,CUST8784,New,Female,44,19,Emma,Main Course,Paneer Butter Masala,2,13.99,27.98,0.1,5.58,33.46,Google Pay,Takeaway,4,7.99
ORD00034,05-05-2025,21:58:34,May,Monday,CUST9486,Returning,Male,53,8,Sophia,Main Course,Chicken Biryani,1,14.99,14.99,1.75,2.65,15.89,Google Pay,Dine-in,4,3.74
ORD00035,08-12-2025,05:30:08,December,Monday,CUST7991,Returning,Male,65,16,Emily,Desserts,Brownie,5,5.99,29.95,3.66,5.26,31.55,Apple Pay,Dine-in,5,10.09
ORD00036,22-05-2025,20:50:47,May,Thursday,CUST4841,Returning,Female,38,18,Sophia,Drinks,Coffee,3,3.99,11.97,0.79,2.24,13.42,Card,Dine-in,3,3.99
ORD00037,16-07-2025,03:07:03,July,Wednesday,CUST8633,Returning,Male,31,14,David,Main Course,Paneer Butter Masala,1,13.99,13.99,0.87,2.62,15.74,Online,Delivery,3,3.93
ORD00038,22-10-2025,03:25:28,October,Wednesday,CUST7389,Returning,Male,49,8,Michael,Drinks,Fresh Juice,1,4.49,4.49,0.63,0.77,4.63,Google Pay,Takeaway,3,1.14
ORD00039,19-07-2025,02:06:13,July,Saturday,CUST3091,New,Female,55,19,James,Desserts,Cheesecake,4,6.99,27.96,3.04,4.98,29.9,Cash,Delivery,4,9.37
ORD00040,11-03-2025,16:04:39,March,Tuesday,CUST8449,Returning,Female,42,9,David,Drinks,Coffee,1,3.99,3.99,0.16,0.77,4.6,Apple Pay,Dine-in,4,1.15
ORD00041,10-01-2025,12:09:52,January,Friday,CUST1659,New,Male,30,1,Daniel,Starters,Chicken Wings,2,8.99,17.98,1.75,3.25,19.48,Card,Dine-in,4,5.96
ORD00042,09-12-2025,17:36:57,December,Tuesday,CUST3749,New,Male,37,4,James,Starters,Garlic Bread,4,4.99,19.96,2.09,3.57,21.44,Apple Pay,Delivery,5,6.52
ORD00043,12-07-2025,23:28:27,July,Saturday,CUST4978,New,Female,61,20,Sophia,Drinks,Coffee,1,3.99,3.99,0.35,0.73,4.37,Online,Dine-in,4,1.36
ORD00044,30-09-2025,15:39:37,September,Tuesday,CUST7882,Returning,Male,45,12,Emily,Drinks,Tea,1,2.49,2.49,0.19,0.46,2.76,Card,Takeaway,3,0.69
ORD00045,25-09-2025,18:46:20,September,Thursday,CUST5397,Returning,Male,23,9,Emily,Desserts,Cheesecake,5,6.99,34.95,4.06,6.18,37.07,Card,Takeaway,5,9.88
ORD00046,09-11-2025,22:33:16,November,Sunday,CUST8988,New,Female,34,11,Michael,Drinks,Tea,1,2.49,2.49,0.18,0.46,2.77,Online,Delivery,4,0.69
ORD00047,12-10-2025,21:55:53,October,Sunday,CUST4937,Returning,Female,46,1,Sophia,Starters,Garlic Bread,1,4.99,4.99,0.18,0.96,5.77,Apple Pay,Dine-in,4,1.5
ORD00048,21-12-2025,14:28:06,December,Sunday,CUST6632,Returning,Female,40,15,Michael,Main Course,Pizza,5,16.99,84.95,4.7,16.05,96.3,Apple Pay,Takeaway,3,26.72
ORD00049,03-03-2025,01:36:40,March,Monday,CUST4033,New,Male,65,16,Michael,Main Course,Burger,1,11.99,11.99,1.34,2.13,12.78,Online,Delivery,5,4.18
ORD00050,25-05-2025,02:41:24,May,Sunday,CUST1231,New,Female,20,2,Michael,Starters,Garlic Bread,3,4.99,14.97,0.51,2.89,17.35,Card,Delivery,4,4
ORD00051,22-02-2025,03:22:08,February,Saturday,CUST1841,Returning,Female,25,3,David,Starters,Chicken Wings,4,8.99,35.96,2.58,6.68,40.06,Google Pay,Dine-in,5,10.05
ORD00052,19-11-2025,00:29:38,November,Wednesday,CUST2395,New,Male,53,14,Emma,Starters,Garlic Bread,2,4.99,9.98,1.21,1.75,10.52,Online,Takeaway,4,3.44
ORD00053,15-08-2025,11:20:10,August,Friday,CUST2625,New,Male,34,3,Daniel,Desserts,Cheesecake,4,6.99,27.96,1.28,5.34,32.02,Card,Dine-in,5,9.16
ORD00054,08-02-2025,05:06:21,February,Saturday,CUST5771,New,Male,36,10,Emily,Main Course,Chicken Biryani,4,14.99,59.96,4.05,11.18,67.09,Cash,Delivery,3,18.96
ORD00055,16-05-2025,23:11:30,May,Friday,CUST5352,New,Male,21,6,Michael,Main Course,Pasta,1,13.49,13.49,1.1,2.48,14.87,Online,Delivery,5,4.3
ORD00056,28-05-2025,17:19:31,May,Wednesday,CUST5460,Returning,Female,23,20,James,Drinks,Coke,4,2.99,11.96,1.24,2.14,12.86,Google Pay,Delivery,4,3.81
ORD00057,06-11-2025,13:13:38,November,Thursday,CUST1339,Returning,Male,29,16,Emily,Desserts,Ice Cream,1,4.99,4.99,0.17,0.96,5.78,Apple Pay,Dine-in,5,1.69
ORD00058,12-08-2025,04:47:09,August,Tuesday,CUST2713,New,Female,44,16,Michael,Drinks,Coke,4,2.99,11.96,0.62,2.27,13.61,Google Pay,Delivery,3,3.4
ORD00059,21-08-2025,08:35:18,August,Thursday,CUST7622,New,Female,44,2,Emma,Starters,Chicken Wings,3,8.99,26.97,1.31,5.13,30.79,Online,Takeaway,5,10.15
ORD00060,13-09-2025,18:21:47,September,Saturday,CUST5719,Returning,Female,25,1,Emma,Drinks,Coke,2,2.99,5.98,0.24,1.15,6.89,Card,Takeaway,5,1.55
ORD00061,08-01-2025,20:45:51,January,Wednesday,CUST8560,New,Male,49,10,Michael,Drinks,Coke,2,2.99,5.98,0.89,1.02,6.11,Google Pay,Takeaway,4,1.97
ORD00062,05-05-2025,14:54:30,May,Monday,CUST3236,New,Female,44,11,Michael,Drinks,Coffee,4,3.99,15.96,0.46,3.1,18.6,Cash,Takeaway,5,5.27
ORD00063,02-06-2025,19:34:35,June,Monday,CUST9903,Returning,Female,38,7,Emma,Drinks,Coffee,4,3.99,15.96,1.29,2.93,17.6,Online,Takeaway,3,4.43
ORD00064,30-07-2025,13:42:32,July,Wednesday,CUST7325,New,Female,20,5,Olivia,Starters,Chicken Wings,4,8.99,35.96,3.8,6.43,38.59,Cash,Takeaway,3,11.95
ORD00065,27-09-2025,02:58:14,September,Saturday,CUST3529,New,Female,34,11,David,Drinks,Coke,2,2.99,5.98,0.37,1.12,6.73,Cash,Takeaway,5,1.95
ORD00066,01-10-2025,18:58:26,October,Wednesday,CUST2121,New,Female,32,3,David,Drinks,Tea,4,2.49,9.96,1.3,1.73,10.39,Cash,Delivery,5,2.21
ORD00067,21-02-2025,20:01:32,February,Friday,CUST1919,Returning,Female,41,14,Daniel,Drinks,Coffee,3,3.99,11.97,1.62,2.07,12.42,Card,Delivery,4,2.66
ORD00068,17-10-2025,15:58:15,October,Friday,CUST4945,Returning,Male,32,15,Michael,Main Course,Butter Chicken,2,15.99,31.98,0.38,6.32,37.92,Google Pay,Takeaway,5,12.03
ORD00069,05-01-2025,16:38:37,January,Sunday,CUST6661,Returning,Female,62,9,Emily,Drinks,Tea,5,2.49,12.45,0.3,2.43,14.58,Apple Pay,Dine-in,4,3.84
ORD00070,05-09-2025,09:48:34,September,Friday,CUST5837,New,Female,35,1,James,Starters,Garlic Bread,4,4.99,19.96,1.71,3.65,21.9,Online,Delivery,4,6.14
ORD00071,27-05-2025,23:33:46,May,Tuesday,CUST3240,New,Male,37,15,James,Main Course,Burger,2,11.99,23.98,2.29,4.34,26.03,Online,Takeaway,5,7.44
ORD00072,09-03-2025,13:39:12,March,Sunday,CUST3165,Returning,Female,28,9,Emily,Starters,Chicken Wings,3,8.99,26.97,3.02,4.79,28.74,Apple Pay,Delivery,4,6.62
ORD00073,28-02-2025,22:43:20,February,Friday,CUST7511,Returning,Male,43,1,Michael,Drinks,Coke,2,2.99,5.98,0.68,1.06,6.36,Online,Dine-in,4,1.5
ORD00074,08-07-2025,06:19:01,July,Tuesday,CUST2775,New,Female,19,20,Olivia,Desserts,Cheesecake,4,6.99,27.96,3.45,4.9,29.41,Online,Dine-in,5,9.58
ORD00075,02-02-2025,01:14:46,February,Sunday,CUST1609,Returning,Female,25,4,Emma,Drinks,Tea,4,2.49,9.96,0.17,1.96,11.75,Online,Dine-in,4,2.51
ORD00076,21-08-2025,04:52:47,August,Thursday,CUST3531,Returning,Male,49,20,David,Desserts,Cheesecake,5,6.99,34.95,2.2,6.55,39.3,Apple Pay,Dine-in,5,11.83
ORD00077,09-07-2025,15:25:13,July,Wednesday,CUST2627,Returning,Female,21,13,Michael,Main Course,Fish & Chips,4,17.99,71.96,10.26,12.34,74.04,Card,Dine-in,4,23.34
ORD00078,16-02-2025,05:12:23,February,Sunday,CUST3063,New,Male,53,7,Emma,Main Course,Chicken Biryani,1,14.99,14.99,1.77,2.64,15.86,Card,Takeaway,3,3.79
ORD00079,02-11-2025,10:40:32,November,Sunday,CUST3858,New,Male,26,1,Olivia,Starters,Chicken Wings,2,8.99,17.98,2.66,3.06,18.38,Card,Delivery,4,5.07
ORD00080,09-01-2025,05:00:21,January,Thursday,CUST2862,New,Female,46,12,Sophia,Main Course,Pizza,1,16.99,16.99,0.32,3.33,20,Google Pay,Delivery,3,5.22
ORD00081,11-11-2025,17:05:05,November,Tuesday,CUST8847,Returning,Female,61,4,Emily,Starters,Chicken Wings,4,8.99,35.96,3.47,6.5,38.99,Google Pay,Dine-in,3,8.27
ORD00082,14-06-2025,16:54:17,June,Saturday,CUST9984,Returning,Female,56,17,Michael,Main Course,Veg Biryani,2,12.99,25.98,1.07,4.98,29.89,Google Pay,Delivery,5,8.59
ORD00083,09-08-2025,12:10:08,August,Saturday,CUST8398,New,Female,39,15,David,Starters,Spring Rolls,5,6.99,34.95,3.78,6.23,37.4,Google Pay,Delivery,3,8.8
ORD00084,10-06-2025,16:08:18,June,Tuesday,CUST8770,New,Male,23,3,David,Drinks,Tea,3,2.49,7.47,0.42,1.41,8.46,Cash,Delivery,5,1.92
ORD00085,10-07-2025,13:51:22,July,Thursday,CUST3002,Returning,Female,60,14,James,Main Course,Chicken Biryani,5,14.99,74.95,10.75,12.84,77.04,Apple Pay,Delivery,4,21.46
ORD00086,30-06-2025,16:32:50,June,Monday,CUST2773,Returning,Female,25,9,Emma,Starters,Garlic Bread,2,4.99,9.98,0.98,1.8,10.8,Google Pay,Delivery,5,2.55
ORD00087,11-11-2025,04:02:02,November,Tuesday,CUST6062,Returning,Female,18,6,Daniel,Starters,Chicken Wings,1,8.99,8.99,0.24,1.75,10.5,Online,Delivery,4,3.11
ORD00088,05-02-2025,10:44:20,February,Wednesday,CUST7878,Returning,Female,28,12,Michael,Main Course,Chicken Biryani,1,14.99,14.99,1.68,2.66,15.97,Apple Pay,Delivery,5,3.76
ORD00089,13-02-2025,16:28:33,February,Thursday,CUST2336,Returning,Female,60,14,Emily,Starters,Garlic Bread,2,4.99,9.98,1.13,1.77,10.62,Online,Takeaway,4,2.28
ORD00090,20-05-2025,01:18:22,May,Tuesday,CUST8972,Returning,Male,32,13,James,Main Course,Veg Biryani,3,12.99,38.97,2.51,7.29,43.75,Cash,Dine-in,4,10.66
